Date,Close
10/2/2007,78.19
10/3/2007,77.47
10/4/2007,77.74
10/5/2007,78.69
10/8/2007,78.54
10/9/2007,79.31
10/10/2007,78.62
10/11/2007,78.1
10/12/2007,78.21
10/15/2007,77.63
10/16/2007,77.31
10/17/2007,77.36
10/18/2007,77.63
10/19/2007,75.08
10/22/2007,75.65
10/23/2007,76.59
10/24/2007,76.68
10/25/2007,76.53
10/26/2007,76.48
10/29/2007,76.98
10/30/2007,76.49
10/31/2007,77.57
11/1/2007,75.9
11/2/2007,76.39
11/5/2007,76.24
11/6/2007,77.1
11/7/2007,75.06
11/8/2007,75.61
11/9/2007,73.89
11/12/2007,72.8
11/13/2007,74.38
11/14/2007,74.29
11/15/2007,73.48
11/16/2007,73.32
11/19/2007,72.16
11/20/2007,72.02
11/21/2007,71.09
11/23/2007,72.18
11/26/2007,70.96
11/27/2007,72.1
11/28/2007,74.4
11/29/2007,74.07
11/30/2007,74.52
12/3/2007,73.8
12/4/2007,73.27
12/5/2007,74.34
12/6/2007,75.73
12/7/2007,75.91
12/10/2007,76.54
12/11/2007,74.31
12/12/2007,74.65
12/13/2007,75.27
12/14/2007,73.43
12/17/2007,71.97
12/19/2007,71.9
12/20/2007,72.75
12/21/2007,73.94
12/26/2007,74.7
12/27/2007,73.59
12/28/2007,73.65
12/31/2007,73.09
1/2/2008,71.95
1/3/2008,72.12
1/4/2008,70.2
1/7/2008,69.66
1/8/2008,67.79
1/9/2008,68.24
1/10/2008,69.11
1/11/2008,67.8
1/14/2008,68.61
1/15/2008,66.97
1/16/2008,66.62
1/17/2008,64.11
1/18/2008,64.41
1/22/2008,64.47
1/23/2008,66.13
1/24/2008,66.6
1/25/2008,66.38
1/28/2008,67.44
1/29/2008,67.98
1/30/2008,67.89
1/31/2008,69.19
2/1/2008,70.48
2/4/2008,69.88
2/5/2008,67.75
2/6/2008,67.43
2/7/2008,67.63
2/8/2008,67.33
2/11/2008,68
2/12/2008,68.38
2/13/2008,69.93
2/14/2008,68.96
2/15/2008,68.53
2/19/2008,68.61
2/20/2008,68.88
2/21/2008,68.24
2/22/2008,68.7
2/25/2008,69.91
2/26/2008,70.08
2/27/2008,69.82
2/28/2008,69.49
2/29/2008,67.73
3/3/2008,68.16
3/4/2008,67.76
3/5/2008,68.47
3/6/2008,67.1
3/7/2008,66.1
3/10/2008,64.59
3/11/2008,67.05
3/12/2008,67.08
3/13/2008,67.6
3/14/2008,66.66
3/17/2008,66.21
3/18/2008,69
3/19/2008,67.25
3/20/2008,68.43
3/24/2008,69.62
3/25/2008,70.16
3/26/2008,69.5
3/27/2008,69.08
3/28/2008,68.7
3/31/2008,69.11
4/1/2008,71.5
4/2/2008,71.45
4/3/2008,71.54
4/4/2008,71.69
4/7/2008,71.64
4/8/2008,71.34
4/9/2008,70.37
4/10/2008,70.96
4/11/2008,67.93
4/14/2008,68.06
4/15/2008,68.18
4/16/2008,70.01
4/17/2008,69.45
4/18/2008,71.24
4/21/2008,71.08
4/22/2008,70.22
4/23/2008,70.2
4/24/2008,70.9
4/25/2008,71.46
4/28/2008,71.59
4/29/2008,71.17
4/30/2008,71.11
5/1/2008,72.06
5/5/2008,72.03
5/6/2008,72.43
5/7/2008,71.2
5/9/2008,71.31
5/12/2008,72.3
5/13/2008,72.92
5/14/2008,73.08
5/15/2008,73.44
5/16/2008,73.36
5/19/2008,73.51
5/20/2008,72.78
5/21/2008,71.51
5/22/2008,71.36
5/23/2008,70.52
5/27/2008,71.09
5/28/2008,71.78
5/29/2008,72.09
5/30/2008,72.61
6/2/2008,71.97
6/3/2008,71.59
6/4/2008,71.42
6/5/2008,72.48
6/6/2008,70
6/9/2008,70.19
6/10/2008,70.07
6/11/2008,68.49
6/12/2008,68.53
6/13/2008,69.48
6/16/2008,69.52
6/17/2008,69.01
6/18/2008,68.34
6/19/2008,69.09
6/20/2008,67.97
6/23/2008,67.99
6/24/2008,67.09
6/25/2008,66.88
6/26/2008,64.42
6/27/2008,64.13
6/30/2008,64.49
7/1/2008,64.45
7/2/2008,62.25
7/7/2008,62.57
7/8/2008,64.07
7/9/2008,62.62
7/10/2008,63.37
7/11/2008,62.76
7/14/2008,62.72
7/15/2008,61.66
7/16/2008,63.72
7/17/2008,64.67
7/18/2008,64.51
7/21/2008,64.79
7/22/2008,66.11
7/23/2008,66.64
7/24/2008,64.81
7/25/2008,65.42
7/28/2008,64
7/29/2008,65.87
7/30/2008,66.94
7/31/2008,65.66
8/1/2008,65.24
8/4/2008,64.58
8/5/2008,66.21
8/6/2008,66.32
8/7/2008,65.61
8/8/2008,67.48
8/11/2008,67.81
8/12/2008,67.17
8/13/2008,66.91
8/14/2008,67.31
8/15/2008,67.69
8/18/2008,66.91
8/19/2008,65.69
8/20/2008,65.77
8/21/2008,65.77
8/22/2008,66.75
8/25/2008,65.49
